"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","COD_ITEM","QTD_PECAS_SOLIC","PRE_UNIT","PCT_DESC_ADIC","PCT_DESC_BRUTO","PRZ_ENTREGA","VAL_SEGURO_UNIT","VAL_FRETE_UNIT"
"01",14591,56,"0302082004026  ",1,561,0,0,[2015/07/20:12:00:00 AM],0,0
"01",14591,57,"0302082004027  ",5,92,0,0,[2015/07/20:12:00:00 AM],0,0
"01",14591,58,"0302082004030  ",5,107,0,0,[2015/07/20:12:00:00 AM],0,0
"01",14591,59,"0302082004028  ",5,148,0,0,[2015/07/20:12:00:00 AM],0,0
"01",14591,60,"0302082004029  ",1,750,0,0,[2015/07/20:12:00:00 AM],0,0
"01",19887,4,"0302081501002  ",1,4060,0,0,[2016/09/13:12:00:00 AM],0,0
"01",19887,5,"0302081501003  ",1,2060,0,0,[2016/09/13:12:00:00 AM],0,0
"01",19887,6,"0302081501004  ",1,2060,0,0,[2016/09/13:12:00:00 AM],0,0
"01",19887,7,"0302040501001  ",2,1085,0,0,[2016/09/13:12:00:00 AM],0,0
"01",17874,1,"0301020101166  ",1,5867.15,0,0,[2015/10/19:12:00:00 AM],0,0
"01",18674,1,"0301020205043  ",1,16440,0,0,[2016/03/11:12:00:00 AM],0,0
"01",17913,1,"0301020101163  ",1,4055,0,0,[2015/10/23:12:00:00 AM],0,0
"01",17874,2,"0301020101162  ",1,4012.5,0,0,[2015/10/19:12:00:00 AM],0,0
"01",17874,3,"0301020101024  ",1,315,0,0,[2015/10/19:12:00:00 AM],0,0
"01",17874,4,"0301020101026  ",1,1015,0,0,[2015/10/19:12:00:00 AM],0,0
"01",17943,2,"0301020101162  ",1,3725,0,0,[2015/10/28:12:00:00 AM],0,0
"01",19689,2,"0302040801001  ",1,147,0,0,[2016/08/16:12:00:00 AM],0,0
"01",17913,2,"0301020101164  ",1,4460,0,0,[2015/10/23:12:00:00 AM],0,0
"01",17943,1,"0301020101166  ",1,5022,0,0,[2015/10/28:12:00:00 AM],0,0
"01",18674,2,"0301020205044  ",1,11715,0,0,[2016/03/11:12:00:00 AM],0,0
"01",10388,2,"3311010102002  ",1,6350,0,0,[2013/02/06:12:00:00 AM],0,0
"01",19395,1,"0302010101010  ",1,190,0,0,[2016/06/29:12:00:00 AM],0,0
"01",17950,1,"0301020101162  ",1,3467,0,0,[2015/10/28:12:00:00 AM],0,0
"01",17950,2,"0301020101167  ",1,4191,0,0,[2015/10/28:12:00:00 AM],0,0
